epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,988.103,1.80231,1.71812,1.13383,0.95054,0.77468,0.58685,0.67291,0.31767,0.49978,0.39906,0.3904,0.12569,1.57747,1.59965,1.12659,0.95121,0.0014456,0.0014456,0.0014456
86,999.46,1.76314,1.75759,1.12272,0.93178,0.74832,0.5863,0.67464,0.30951,0.6042,0.39906,0.43946,0.15218,1.70388,1.62708,1.16446,0.97926,0.001439,0.001439,0.001439
87,1010.73,1.73715,1.63699,1.12455,0.94155,0.71322,0.44369,0.54826,0.24953,0.4988,0.29108,0.33144,0.11053,1.83162,1.80351,1.55169,1.0216,0.0014324,0.0014324,0.0014324
88,1022.43,1.7649,1.86876,1.19269,0.9378,0.62552,0.46948,0.53221,0.21472,0.4765,0.30516,0.30408,0.07978,1.93666,1.70177,1.48096,1.04823,0.0014258,0.0014258,0.0014258
89,1033.96,1.73111,1.70748,1.13517,0.9341,0.73603,0.57599,0.65764,0.27709,0.5122,0.32394,0.33761,0.10656,1.71671,1.77889,1.28775,0.99113,0.0014192,0.0014192,0.0014192
90,1045.17,1.71445,1.78534,1.10397,0.93284,0.73969,0.56338,0.6689,0.28899,0.57767,0.3853,0.38805,0.12418,1.70399,1.6509,1.17639,0.9998,0.0014126,0.0014126,0.0014126
91,1056.57,1.727,1.74742,1.0839,0.93692,0.73776,0.57746,0.66975,0.28863,0.46344,0.38967,0.38262,0.13062,1.77388,1.73216,1.24028,1.00864,0.001406,0.001406,0.001406
92,1067.91,1.7463,1.82,1.12234,0.93955,0.76352,0.57746,0.6613,0.28159,0.55586,0.30047,0.35443,0.12104,1.78381,1.75828,1.23518,1.00762,0.0013994,0.0013994,0.0013994
93,1079.43,1.72257,1.7239,1.12365,0.94987,0.79258,0.52582,0.63689,0.26961,0.53056,0.32864,0.34284,0.11184,1.83717,1.82459,1.26244,1.02092,0.0013928,0.0013928,0.0013928
94,1090.63,1.72872,1.73478,1.11322,0.92478,0.73338,0.51174,0.59812,0.27526,0.49387,0.30237,0.33755,0.12916,1.74175,1.70145,1.36446,0.99259,0.0013862,0.0013862,0.0013862
95,1101.87,1.71752,1.80714,1.18214,0.91938,0.76322,0.59019,0.67982,0.30456,0.65688,0.38028,0.45787,0.16112,1.68316,1.60966,1.14041,0.98338,0.0013796,0.0013796,0.0013796
96,1113.06,1.72047,1.78115,1.17169,0.92625,0.67329,0.56338,0.62698,0.29201,0.39563,0.39437,0.36533,0.138,1.65832,1.57971,1.19378,0.97375,0.001373,0.001373,0.001373
97,1124.25,1.70196,1.72747,1.0926,0.91511,0.72889,0.53052,0.61045,0.27459,0.48196,0.3615,0.36597,0.12751,1.76409,1.71849,1.27693,1.00103,0.0013664,0.0013664,0.0013664
98,1135.57,1.70571,1.7167,1.10254,0.92883,0.76444,0.53991,0.63252,0.28552,0.57386,0.3983,0.4139,0.13543,1.82924,1.72186,1.19428,1.02297,0.0013598,0.0013598,0.0013598
99,1146.77,1.70571,1.79105,1.11037,0.92247,0.74552,0.58685,0.64879,0.29787,0.5942,0.39186,0.38828,0.14805,1.62776,1.59813,1.1299,0.96068,0.0013532,0.0013532,0.0013532
100,1158.03,1.72671,1.80893,1.13568,0.9256,0.75523,0.53991,0.62772,0.28233,0.58205,0.37559,0.40371,0.13362,1.69458,1.69235,1.27894,0.97099,0.0013466,0.0013466,0.0013466
101,1169.24,1.68408,1.76502,1.09571,0.9128,0.79215,0.57258,0.65997,0.29756,0.63477,0.32864,0.38813,0.12588,1.78662,1.61233,1.26801,1.01204,0.00134,0.00134,0.00134
102,1180.52,1.74161,1.70461,1.14429,0.92626,0.707,0.56644,0.63358,0.28808,0.55917,0.32159,0.38427,0.14617,1.66838,1.63479,1.23137,0.97847,0.0013334,0.0013334,0.0013334
103,1191.79,1.73346,1.70771,1.14455,0.92886,0.68961,0.5493,0.61038,0.27878,0.54372,0.28638,0.34086,0.12091,1.72378,1.62488,1.29881,0.99049,0.0013268,0.0013268,0.0013268
104,1203.02,1.68057,1.70476,1.10581,0.91929,0.77181,0.5493,0.6497,0.27666,0.54272,0.33803,0.3576,0.11855,1.79386,1.77706,1.21794,1.00983,0.0013202,0.0013202,0.0013202
105,1214.43,1.70333,1.79953,1.13819,0.92489,0.70823,0.66197,0.70152,0.31534,0.55216,0.39906,0.3915,0.13187,1.6718,1.58459,1.12805,0.97505,0.0013136,0.0013136,0.0013136
106,1225.68,1.7071,1.75147,1.09807,0.91741,0.80623,0.62441,0.69435,0.31398,0.57926,0.37089,0.40406,0.14829,1.63004,1.6277,1.15159,0.96647,0.001307,0.001307,0.001307
107,1236.96,1.72439,1.84395,1.07233,0.93491,0.80093,0.61033,0.69178,0.31812,0.52714,0.39906,0.41114,0.15492,1.63279,1.59071,1.15495,0.96653,0.0013004,0.0013004,0.0013004
108,1248.15,1.7218,1.68622,1.07165,0.93908,0.6663,0.58216,0.64476,0.28579,0.57227,0.32864,0.39289,0.13051,1.80277,1.70079,1.32759,1.00126,0.0012938,0.0012938,0.0012938
109,1259.38,1.73198,1.69909,1.08886,0.92721,0.71594,0.57277,0.6249,0.25903,0.51934,0.33333,0.32271,0.11007,1.81662,1.72389,1.31351,1.0055,0.0012872,0.0012872,0.0012872
110,1270.98,1.72748,1.80004,1.10063,0.91168,0.752,0.59793,0.67277,0.29235,0.6236,0.34742,0.39499,0.13784,1.66907,1.62686,1.20983,0.96839,0.0012806,0.0012806,0.0012806
111,1282.48,1.70603,1.76989,1.09736,0.91616,0.70796,0.58216,0.66157,0.29078,0.58216,0.32864,0.40251,0.12167,1.83866,1.68326,1.24345,1.02529,0.001274,0.001274,0.001274
112,1294,1.64286,1.77479,1.09172,0.89955,0.67339,0.61972,0.66362,0.307,0.50326,0.42723,0.42882,0.15175,1.6682,1.72543,1.16496,0.96854,0.0012674,0.0012674,0.0012674
113,1305.36,1.61253,1.61247,1.00792,0.9202,0.75367,0.63205,0.69468,0.31407,0.48539,0.41315,0.4024,0.13887,1.70178,1.60124,1.11851,0.98362,0.0012608,0.0012608,0.0012608
114,1316.89,1.67292,1.74278,1.07303,0.91117,0.70086,0.63798,0.67221,0.2889,0.58637,0.31925,0.33636,0.11425,1.59737,1.699,1.26174,0.95261,0.0012542,0.0012542,0.0012542
115,1328.34,1.67542,1.61304,1.0212,0.91509,0.70331,0.66197,0.71624,0.32349,0.56893,0.38498,0.42608,0.14185,1.70035,1.68286,1.15065,0.99494,0.0012476,0.0012476,0.0012476
116,1339.53,1.6472,1.76597,1.05773,0.91497,0.69995,0.61332,0.66829,0.31009,0.53752,0.38028,0.42296,0.15281,1.65249,1.62237,1.13033,0.97198,0.001241,0.001241,0.001241
117,1350.76,1.67858,1.79603,1.0715,0.92003,0.76994,0.58685,0.66592,0.29775,0.60465,0.38028,0.43024,0.12587,1.7841,1.72837,1.177,1.01061,0.0012344,0.0012344,0.0012344
118,1362.03,1.63621,1.77005,1.07213,0.90392,0.73082,0.60563,0.67401,0.32161,0.53512,0.43662,0.45274,0.17098,1.67262,1.61788,1.12133,0.9803,0.0012278,0.0012278,0.0012278
119,1373.28,1.67016,1.66383,1.07199,0.91311,0.78801,0.55399,0.6391,0.27466,0.50433,0.33333,0.37878,0.12945,1.74672,1.62359,1.29759,0.98865,0.0012212,0.0012212,0.0012212
120,1384.58,1.68672,1.64985,1.10696,0.9399,0.75757,0.57277,0.67089,0.30181,0.5192,0.31455,0.36745,0.13186,1.68901,1.70148,1.15503,0.97965,0.0012146,0.0012146,0.0012146
121,1395.94,1.62148,1.71402,1.06842,0.90906,0.70866,0.61668,0.65346,0.27918,0.5023,0.39437,0.38848,0.12097,1.72878,1.71563,1.2088,0.98871,0.001208,0.001208,0.001208
122,1407.49,1.64778,1.72047,1.05922,0.89936,0.77657,0.58744,0.67749,0.31464,0.64537,0.39906,0.46071,0.15353,1.69977,1.59513,1.19953,0.98105,0.0012014,0.0012014,0.0012014
123,1419.56,1.61093,1.61989,1.06927,0.90286,0.70974,0.61972,0.69011,0.30532,0.54792,0.37559,0.41123,0.14363,1.66133,1.76939,1.21284,0.97324,0.0011948,0.0011948,0.0011948
124,1431.13,1.71765,1.70391,1.09708,0.92631,0.75143,0.56338,0.66525,0.32597,0.64379,0.3662,0.42592,0.15862,1.64645,1.72946,1.16411,0.97249,0.0011882,0.0011882,0.0011882
125,1442.57,1.70205,1.65364,1.13562,0.90423,0.77249,0.60563,0.67825,0.32801,0.41772,0.42723,0.41253,0.14369,1.6504,1.76468,1.13148,0.96723,0.0011816,0.0011816,0.0011816
126,1453.89,1.60288,1.57522,1.06334,0.89068,0.70097,0.6338,0.68875,0.28623,0.49646,0.31925,0.3746,0.11735,1.83209,1.749,1.26471,1.01695,0.001175,0.001175,0.001175
